Chapter,School/ Location,Email,Type,Province,Founded,Website,Status
Ada Graduate,"Ada, Ohio",adagrad@kappapsi.org,Graduate,Great Lakes,10/23/1976,,Active
Albany Graduate,"Albany, New York",albanygrad@kappapsi.org,Graduate,Northeast,3/10/1913,,Active
Appalachian Graduate,"Bristol,VA",appalachiagrad@kappapsi.org,Graduate,Dormant,12/20/2012,,Dormant
Arizona Graduate,"Tucson, Arizona",arizonagrad@kappapsi.org,Graduate,Pacific West,3/20/1953,,Active
Arkansas Graduate (Dormant),"Little Rock, Arkansas",arkansasgrad@kappapsi.org,Graduate,Dormant,5/22/1968,,"Dormant: January 1, 1989"
Athens Graduate,"Athens, GA",athensgrad@kappapsi.org,Graduate,Atlantic,7/9/2011,,Active
Atlanta Graduate,"Atlanta, GA",atlantagrad@kappapsi.org,Graduate,Atlantic,6/10/1954,,Active
Auburn Graduate,"Auburn, Alabama",auburngrad@kappapsi.org,Graduate,Gulf Coast,2/27/1993,,Active
Birmingham Graduate,"Birmingham, AL",birminghamgrad@kappapsi.org,Graduate,Gulf Coast,1/7/2012,,Active
Boston Graduate,"Boston, Massachusetts",bostongrad@kappapsi.org,Graduate,Northeast,5/17/1912,,Active
Buffalo Graduate,"Buffalo, New York",buffalograd@kappapsi.org,Graduate,Mountain East,4/14/1930,,Active
Buies Creek Graduate,"Buies Creek, North Carolina",buiescreekgrad@kappapsi.org,Graduate,Atlantic,1/27/1997,,Active
Central Michigan Graduate,"Big Rapids, Michigan",centralmichigangrad@kappapsi.org,Graduate,Great Lakes,10/24/1992,,Active
Central New York Graduate,"Endicott, New York",centralnewyorkgrad@kappapsi.org,Graduate,Northeast,10/31/1971,,Active
Charleston Graduate,"Charleston, SC",charlestongrad@kappapsi.org,Graduate,Southeast,10/27/2009,,Active
Cincinnati Graduate,"Cincinnati, Ohio",cincinnatigrad@kappapsi.org,Graduate,Great Lakes,12/9/1930,,Active
Cleveland Graduate,"Cleveland, Ohio",clevelandgrad@kappapsi.org,Graduate,Great Lakes,12/1/1914,,"Dormant: December 3, 2012"
Columbus Graduate,"Columbus, Ohio",columbusgrad@kappapsi.org,Graduate,Great Lakes,1/27/1939,,Active
Connecticut Graduate,"New Haven, Connecticut",connecticutgrad@kappapsi.org,Graduate,Northeast,1/26/1931,,Active
Dallas/Fort Worth Graduate,"Dallas-Fort Worth,TX",dfwgrad@kappapsi.org,Graduate,Southwest,11/6/2015,,Active
Detroit Graduate,"Detroit, Michigan",detroitgrad@kappapsi.org,Graduate,Great Lakes,5/13/1937,,Active
District of Columbia Graduate,"Washington, D.C.",dcgrad@kappapsi.org,Graduate,Mountain East,5/23/1953,,Active
Gainesville Graduate,"Gainesville, FL",gainesvillegrad@kappapsi.org,Graduate,Southeast,9/12/2015,,Active
Georgia Graduate,"Atlanta, Georgia",georgiagrad@kappapsi.org,Graduate,Atlantic,4/16/2000,,Active
Harrisburg Graduate,"Harrisburg, Pennsylvania",harrisburggrad@kappapsi.org,Graduate,Northeast,12/1/1930,,Active
Houston Graduate,"Houston, TX",houstongrad@kappapsi.org,Graduate,Southwest,1/1/1972,,Active
Idaho Graduate,"Boise, ID",idahograd@kappapsi.org,Graduate,Northwest,7/19/2014,,Active
Illinois Graduate,"Chicago, Illinois",illinoisgrad@kappapsi.org,Graduate,Mid-America,1/19/1974,,Active
Indiana Graduate,"West Lafayette, Indiana",indianagrad@kappapsi.org,Graduate,Mid-America,4/9/1978,,Active
Iowa Graduate,"Des Moines, Iowa",iowagrad@kappapsi.org,Graduate,Northern Plains,4/27/1968,,Active
Jacksonville Graduate,"Jacksonville, FL",jacksonvillegrad@kappapsi.org,Graduate,Southeast,2/6/2016,,Active
Kansas City Graduate (Dormant),"Kansas City, Missouri",kansascitygrad@kappapsi.org,Graduate,Dormant,9/26/1963,,"Dormant: December 3, 2012"
Kentucky Graduate,"Louisville, Kentucky",kentuckygrad@kappapsi.org,Graduate,Great Lakes,11/17/1919,,Active
Laurel Highlands Graduate,"Altoona, Pa",laurelhighlandsgrad@kappapsi.org,Graduate,Mountain East,10/31/2009,,Active
Los Angeles Graduate,"Los Angeles, California",losangelesgrad@kappapsi.org,Graduate,Pacific West,3/1/1927,,Active
Louisiana Graduate,"Monroe, Louisiana",louisianagrad@kappapsi.org,Graduate,Gulf Coast,5/7/1967,,Active
Maine Graduate,"Portland, Me",mainegrad@kappapsi.org,Graduate,Northeast,7/15/2011,,Active
Maryland Eastern Shore Graduate,"Salisbury, MD",marylandeasternshoregrad@kappapsi.org,Graduate,Mountain East,8/23/2014,,Active
Maryland Graduate,"Baltimore, Maryland",marylandgrad@kappapsi.org,Graduate,Mountain East,10/2/1971,,Active
Middle Tennessee Graduate,"Nashville,TN",middletennesseegrad@kappapsi.org,Graduate,Gulf Coast,7/15/2011,,Active
Minnesota Graduate,"Minneapolis, Minnesota",minnesotagrad@kappapsi.org,Graduate,Northern Plains,4/13/1953,,Active
Montana Graduate,"Missoula, Montana",montanagrad@kappapsi.org,Graduate,Northwest,10/26/1996,,Active
Nebraska Graduate,"Omaha, Nebraska",nebraskagrad@kappapsi.org,Graduate,Northern Plains,12/19/1920,,Active
Nevada Graduate,Nevada,nevadagrad@kappapsi.org,Graduate,Pacific West,10/22/2016,,Active
New Jersey Graduate,"Newark, New Jersey",newjerseygrad@kappapsi.org,Graduate,Northeast,1/26/1926,,Active
New Mexico Graduate,"Albuquerque, NM",newmexicograd@kappapsi.org,Graduate,Southwest,2/16/2014,,Active
New York Graduate,"New York, New York",newyorkgrad@kappapsi.org,Graduate,Northeast,2/2/1908,,Active
North Alabama Graduate,"Huntsville, Alabama",northalabamagrad@kappapsi.org,Graduate,Gulf Coast,7/11/2015,,Active
North Carolina Graduate,"Durham, North Carolina",northcarolinagrad@kappapsi.org,Graduate,Atlantic,10/7/1978,,Active
North Dakota Graduate,"Fargo, North Dakota",northdakotagrad@kappapsi.org,Graduate,Northern Plains,5/19/1956,,Active
North Florida Graduate,"Tallahassee, Florida",northfloridagrad@kappapsi.org,Graduate,Southeast,8/7/2007,,Active
Oklahoma Graduate (Dormant),"Oklahoma City, Oklahoma",oklahomagrad@kappapsi.org,Graduate,Dormant,11/13/1976,,"Dormant: December 3, 2012"
Orlando Graduate,"Orlando,FL",orlandograd@kappapsi.org,Graduate,Southeast,1/7/2012,,Active
Pacific Graduate,"Stockton, California",pacificgrad@kappapsi.org,Graduate,Pacific West,12/15/1965,,Active
Palouse Graduate,"Spokane, WA",palousegrad@kappapsi.org,Graduate,Northwest,5/16/2015,,Active
Philadelphia Graduate,"Philadelphia, Pennsylvania",philadelphiagrad@kappapsi.org,Graduate,Northeast,10/23/1907,,Active
Pittsburgh Graduate,"Pittsburgh, Pennsylvania",pittsburghgrad@kappapsi.org,Graduate,Mountain East,6/19/1935,,Active
Pocono Graduate,"Mountain Top, Pennsylvania",poconograd@kappapsi.org,Graduate,Northeast,11/20/1977,,Active
Pomona Graduate,"Pomona, Ca",pomonagrad@kappapsi.org,Graduate,Pacific West,6/19/2010,,Active
Portland Graduate,"Portland, Oregon",portlandgrad@kappapsi.org,Graduate,Northwest,4/27/1918,,Active
Providence Graduate,"Kingston, Rhode Island",providencegrad@kappapsi.org,Graduate,Northeast,6/25/1913,,Active
