Chapter,School/ Location,Email,Type,Province,Founded,Founded 2,Difference in dates,Website,Status
Beta Chi,Drake University,betachi@kappapsi.org,Collegiate,Northern Plains,5/3/1930,5/3/1930,0,,Active
Beta Delta,Albany College of Pharmacy and Health Sciences,betadelta@kappapsi.org,Collegiate,Dormant,12/3/1910,12/3/1910,0,,"Dormant: September 29, 2008"
Beta Epsilon,University of Rhode Island,betaepsilon@kappapsi.org,Collegiate,Northeast,5/17/1911,5/17/1911,0,,Active
Beta Eta,West Virginia University,betaeta@kappapsi.org,Collegiate,Mountain East,5/16/1925,5/16/1925,0,,Active
Beta Gamma,University of California San Francisco,betagamma@kappapsi.org,Collegiate,Pacific West,9/23/1910,9/23/1910,0,,Active
Beta Kappa,University of Pittsburgh,betakappa@kappapsi.org,Collegiate,Mountain East,3/26/1913,3/26/1913,0,,Active
Beta Lambda,University of Toledo,betalambda@kappapsi.org,Collegiate,Great Lakes,5/22/1925,5/22/1925,0,,Active
Beta Nu,Creighton University,betanu@kappapsi.org,Collegiate,Northern Plains,11/21/1914,11/21/1914,0,,Active
Beta Omega,Temple University,betaomega@kappapsi.org,Collegiate,Northeast,5/22/1930,5/22/1930,0,,Active
Beta Omicron,University of Washington,betaomicron@kappapsi.org,Collegiate,Northwest,4/15/1916,4/15/1916,0,,Active
Beta Phi,University of Cincinnati,betaphi@kappapsi.org,Collegiate,Great Lakes,2/12/1927,2/12/1927,0,,Active
Beta Pi,Washington State University,betapi@kappapsi.org,Collegiate,Northwest,4/18/1916,4/18/1916,0,,Active
Beta Psi,University of Wisconsin-Madison,betapsi@kappapsi.org,Collegiate,Northern Plains,12/6/1919,12/6/1919,0,,Active
Beta Rho,University of Mississippi,betarho@kappapsi.org,Collegiate,Gulf Coast,4/19/1926,4/19/1926,0,,Active
Beta Sigma,North Dakota State University,betasigma@kappapsi.org,Collegiate,Northern Plains,4/25/1924,4/25/1924,0,,Active
Beta Upsilon,Butler University,betaupsilon@kappapsi.org,Collegiate,Mid-America,2/27/1930,2/27/1930,0,,Active
Beta Xi,University of North Carolina,betaxi@kappapsi.org,Collegiate,Atlantic,5/1/1915,5/1/1915,0,,Active
Beta Zeta,Oregon State University,betazeta@kappapsi.org,Collegiate,Dormant,6/12/1911,6/12/1911,0,,"Dormant: June 1, 1984"
Chi,University of Illinois at Chicago,chi@kappapsi.org,Collegiate,Mid-America,1/25/1910,2/2/1910,-8,,Active
Delta Beta,Southwestern Oklahoma State University,deltabeta@kappapsi.org,Collegiate,Southwest,3/13/1963,3/13/1963,0,,Active
Delta Chi,University of New England,deltachi@kappapsi.org,Collegiate,Northeast,11/19/2011,11/19/2011,0,,Active
Delta Delta,University of Houston,deltadelta@kappapsi.org,Collegiate,Southwest,2/28/1963,2/28/1963,0,,Active
Delta Epsilon,Duquesne University,de.kappapsi@gmail.com,Collegiate,Mountain East,2/24/1967,2/24/1967,0,,Active
Delta Eta,Xavier University of Louisiana,deltaeta@kappapsi.org,Collegiate,Gulf Coast,3/17/1972,4/24/1972,-38,,Active
